License No.,Company Name,Dispensing or not?,Schedule of Chm (S1/S2),Company Address,External Packing,Revised Date
CR-2003-00724,MAN CHEONG MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 22, G/F, YAN OI BUILDING, 2-24 YAN OI STREET, SAN PO KONG, KOWLOON",No,2017-10-06
CR-2003-00731,TAN TECK GINSENG CTR LIMITED,Yes,S2,"G/F, 172-174 WING LOK STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00739,HING SHING GINSENG DRY SEAFOOD COMPANY,No,S2,"G/F, 67C CARPENTER RD, KOWLOON CITY, KOWLOON",No,2017-10-06
CR-2003-00744,CHEONG HING MEDICAL CO.,Yes,S2,"FLAT/RM 16-B, G/F, KIU FUNG MANSION, 18 AUSTIN AVENUE, TSIM SHA TSUI, KOWLOON",No,2017-10-06
CR-2003-00745,WINSOR HEALTH PRODUCTS LIMITED,No,S2,"FLAT/RM 1008, HARBOUR CRYSTAL CENTRE, 100 GRANVILLE ROAD, TSIM SHA TSUI EAST, KOWLOON",No,2017-10-06
CR-2003-00747,CHUNG TAI MEDICINE CO.,Yes,S2,"G/F, NO 1, KUEN YICK BLDG, CHUN YIN SQUARE, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00749,TAK HING HERBS & MEDICINE COMPANY,No,S2,"SD118, 2/F, LUEN WO HUI NEW MARKET, FANLING, N.T.",No,2017-10-06
CR-2003-00752,SAM CHUN HERBALIST CO.,Yes,S1 & S2,"3/F, FU WING BUILDING, 20 POTTINGER ST, HONG KONG",No,2017-10-06
CR-2003-00755,WING HANG MARINE PRODUCTS LIMITED,No,S2,"G/F, 74 DES VOEUX ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00756,TUNG SHING MEDICINE COMPANY,Yes,S2,"G/F, 103 BAKER ST, HUNG HOM, KOWLOON",No,2017-10-06
CR-2003-00757,SHUE TSO TONG GINSENG LIMITED,Yes,S1 & S2,"G/F, 74 WAN CHAI ROAD, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-00760,INTERNATIONAL MEDICINE COMPANY,Yes,S1 & S2,"G/F, 94 NGA TSIN WAI RD, KOWLOON CITY, KOWLOON",No,2017-10-06
CR-2003-00761,HARBOUR MEDICINE COMPANY LIMITED,No,S2,"FLAT/RM 48-50, G/F, SOUTH SEAS CENTRE, 75 MODY RD, TST EAST, KOWLOON",No,2017-10-06
CR-2003-00763,HARBOUR MEDICINE COMPANY LIMITED,No,S2,"FLAT/RM 58-59, G/F, BLK 2, SOUTH SEAS CENTRE, 75 MODY ROAD, TSIM SHA TSUI, KOWLOON",No,2017-10-06
CR-2003-00764,CHEUNG SHING CHINESE RAW-MEDICINE HONG,Yes,S1 & S2,"SHOP NO. N-216, LEVEL 2, ZONE N, H.A.N.D.S, ON TING ESTATE, 2A TUEN MUN HEUNG SZE WUI ROAD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00765,LUEN WO GINSENG COMPANY,Yes,S2,"NO. D & E, KA FUK MARKET, KA FUK ESTATE, FANLING, N.T.",No,2017-10-06
CR-2003-00766,BO KEE HONG,No,S2,"FLAT/RM 302, HA LUNG BLDG, 25-29 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00768,TIN WO TONG,Yes,S1 & S2,"FLAT/RM 208, 2/F, COMM COMPLEX PH3, CHOI WAN EST, NGAU CHI WAN, KOWLOON",No,2017-10-06
CR-2003-00770,TUNG CHUN TONG (O/B TUEN MUN TUNG CHUN TONG LIMITED),Yes,S1 & S2,"FLAT/RM 12, G/F, AREA 36, RESITE HSE AREA, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00771,LUEN HING CHINESE MEDICINE AND MEDICINE SHOP,Yes,S1 & S2,"SHOP H, G/F, NO 19 NGAN HON ST, KOWLOON",No,2017-10-06
CR-2003-00773,SHING HING GINSENG & SEA PRODUCTS,No,S2,"STALL NO. S122, 1/F, SHEK WU HUI MKT, 13 CHI CHEONG RD, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00774,KAM SHING GINSENG & SEAFOOD HERB COMPANY,Yes,S1 & S2,"G/F, 46 SAN HONG ST, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00778,FORTUNE GINSENG MEDICINE CO.,No,S2,"3/F, QUALIPAK TOWER, 121-122 CONNAUGHT ROAD WEST, SAI YING PUN, HONG KONG",No,2017-10-06
CR-2003-00779,HANG TUNG TRADING CO.,Yes,S2,"FLAT/RM 1-2, 22/F, EVERPROFIT COMMERCIAL BUILDING, 34-36 KO SHING STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00781,"JET YOUNG CO., LIMITED",No,S2,"15/F, SI TOI COMM BLDG, 62-63 CONNAUGHT ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00782,YANG HSIU TANG LIMITED,No,S2,"15/F, SI TOI COMM BLDG, 62-63 CONNAUGHT RD W, HONG KONG",No,2017-10-06
CR-2003-00785,HANG CHEONG LOONG CO.,No,S2,"FLAT A, 11/F, LOP PO BLDG, 42-44 KO SHING STREET, HONG KONG",No,2017-10-06
CR-2003-00787,LAI CHAK GINSENG COMPANY LIMITED,No,S2,"G/F, 29 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00788,KWONG SHUN HONG,No,S2,"G/F, 32 BONHAM STRAND WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00790,MAN TSUEN CHEONG BIRDSNEST GINSENG HONG,No,S2,"FLAT/RM B, G/F, SHING PO BLDG, 16-20 KO SHING STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00791,KWONG YUEN TAI,Yes,S2,"G/F, FULLIC COURT, 932 CANTON ROAD, YAU MA TEI, KLN",No,2017-10-06
CR-2003-00792,HIP SANG COMPANY,No,S2,"FLAT/RM 22, G/F, PHASE 3, KWAN YICK BLDG, 271-285 DES VOEUX ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00794,WUN CHUN TONC MEDICINE CO.,Yes,S2,"SHOP A, 155 ELECTRIC ROAD, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-00797,NG YEUNG RESTORATIVE SHOP,Yes,S2,"UNIT 9, 2/F, CHIAP THONG BLDG, 321 TOKWAWAN ROAD, KOWLOON",No,2017-10-06
CR-2003-00799,TAK CHUN CHINESE MEDICINE SHOP,Yes,S2,"SHOP A, 101 TAM KUNG ROAD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-00802,TIN WO TONG MEDICINE,Yes,S1 & S2,"SHOP 8, 1/F, PO SING CENTRE, NO. 5-27 WO YI HOP ROAD, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-00803,WANG FAT COMPANY,No,S2,"G/F, 11A YUK WAH CRESCENT, TSZ WAN SHAN, KOWLOON",No,2017-10-06
CR-2003-00806,SUN WAH (GROUP) MEDICINE CO.,Yes,S2,"M/F, KAM WO BUILDING, 172 NGAU TAU KOK ROAD, KOWLOON",No,2017-10-06
CR-2003-00807,CHAI CHUN MEDICINE CO.,Yes,S1 & S2,"SHOP E3, G/F, 55-57 YEUNG UK ROAD, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00810,LI SIU TUNG BONESETTER & CHINESE HERBS,Yes,S2,"STALL NO. D92 D103 D105, PLOVER COVE ROAD MARKET, TAI PO, N.T.",No,2017-10-06
CR-2003-00813,MAN NING GINSENG & ANTLERS LIMITED,Yes,S2,"FLAT/RM 9, G/F, MAN HONG BLDG, 17 SAI YU ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00818,KWONG FAI HONG TRADING LIMITED,No,S2,"FLAT/RM 106, HA LUNG BLDG, 25-29 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00820,CHUNG KONG MEDICINE CO.,Yes,S2,"G/F, 8 WAI YI ST, TAI PO, N.T.",No,2017-10-06
CR-2003-00824,WAI YUEN TONG (O/B WAI YUEN TONG (RETAIL) LIMITED),No,S2,"SHOP NO 50, 2/F, FANLING TOWN CENTRE ARCADE, N.T.",No,2017-10-06
CR-2003-00832,TAK FOOK TONG,No,S2,"FLAT/RM 1704, 17/F, KAI WONG COMMERCIAL BUILDING, 222 QUEEN'S ROAD CENTRAL, HONG KONG",No,2017-10-06
CR-2003-00838,THAILAND GINSENG BIRD'S NEST,No,S2,"SHOP C, G/F, 17 TO KWA WAN RD, KOWLOON",No,2017-10-06
CR-2003-00840,LIVE HEALTH GINSENG HONG,No,S2,"SHOP A, G/F, MARBLE PLACE, 2H MARBLE ROAD, NORTH POINT, HONG KONG",No,2017-10-06
CR-2003-00842,KIU FUNG MEDICINE CO.,Yes,S2,"SHOP A2 & A3, 63 ON NING ROAD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00845,SUN TIM CHINESE HERBAL CO.,Yes,S1 & S2,"FLAT/RM 6, G/F, SHOPPING ARCADE, HOLFORD GARDEN, TAI WAI, N.T.",No,2017-10-06
CR-2003-00846,WO HING MEDICINE COMPANY,Yes,S1 & S2,"G/F, 27C SHUI WO ST, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-00848,WAH FUNG COMPANY,No,S2,"SHOP 2, KAM YU MANSION, 8 KOM U ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00853,KAM FUNG BIRDNEST AND MARINE FOOD,No,S2,"G/F, 104 DES VOEUX ROAD CENTRAL, HONG KONG",No,2017-10-06
CR-2003-00856,PING ON MEDICINE CO.,No,S2,"STALL NO 31-32, G/F, KWAI FONG TERRACE MKT, 8 KWAI YI RD, LOWER KWAI CHUNG, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00858,OIL MAN MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 6, G/F, CHIU MAN HOUSE, OI MAN EST, KOWLOON",No,2017-10-06
CR-2003-00859,FUNG WONG GINSENG MEDICINE CO.,No,S2,"SHOP 5, HONOUR BUILDING, 78A TO KWA WAN ROAD, KOWLOON",No,2017-10-06
CR-2003-00865,HAN LAM TONG MEDICINE COMPANY (O/B HONG KONG HAN LAM TONG MEDICINE LIMITED),Yes,S2,"G/F, 8 SAN KUNG STREET, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00873,HON KONG GINSENG SHOP COMPANY LIMITED,Yes,S2,"SHOP B, G/F, 442 NATHAN ROAD, KOWLOON",No,2017-10-06
CR-2003-00876,WONG KWONG LEE,Yes,S2,"STALL NOS. 116, 105, G/F, SHA TIN MARKET, SHA TIN, N.T.",No,2017-10-06
CR-2003-00877,CHEONG WO TONG,Yes,S1 & S2,"FLAT/RM 4B, G/F, 14-22 KA WO ST, ABERDEEN, HONG KONG",No,2017-10-06
CR-2003-00878,TAK ON TONG,Yes,S1 & S2,"FLAT A157-A158, G/F, KINGSWOOD RICHLY PLAZA, KINGSWOOD VILLAS, TIN SHUI WAI, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00880,CHUNG SANG TONG,No,S2,"FLAT/RM A, 13/F, TOI SHAN CTR, 128 JOHNSTON RD, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-00883,HONG WAN GINSENG DRIED SEAFOOD DISPENSARY,Yes,S1 & S2,"SHOP S78A, G/F, SUNSHINE CITY MKT, MA ON SHAN, SHA TIN, N.T.",No,2017-10-06
CR-2003-00885,WAH NING MEDICINE CO.,Yes,S1 & S2,"G/F, 19 TSAO KUNG FONG, FUK LOI CHUEN, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00886,KIN SANG DISPENSARY,Yes,S1 & S2,"G/F, 11 FUK LO TSUN ROAD, KOWLOON CITY, KOWLOON",No,2017-10-06
CR-2003-00887,TIN SHING MEDICINE HONG,Yes,S2,"FLAT/RM A17, G/F, MERLIN CTR, 48 TONKIN ST, KOWLOON",No,2017-10-06
CR-2003-00888,GOLDY GINSENG COMPANY (O/B GOLDY GINSENG LIMITED),No,S2,"G-M/F, 8A WING LOK ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00889,TAK SUNG TONG MEDICINE CO.,No,S2,"G/F, 29 NAM CHEONG ST, KOWLOON",No,2017-10-06
CR-2003-00890,HING FAT MEDICINE CO.,Yes,S1 & S2,"SHOP 38, G/F, LAI KOK MARKET, LAI KOK ESTATE, 12 TONKIN STREET, KOWLOON",No,2017-10-06
CR-2003-00900,POK KEE,No,S2,"G/F, 70 QUEEN'S ROAD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00901,KWOK FUNG MEDICINE CO.,Yes,S1 & S2,"G/F, 167 QUEEN'S ROAD W, HONG KONG",No,2017-10-06
CR-2003-00902,WAI HUNG SEA FOOD GROCERY,No,S2,"STALL NO. MN9-MN12, YUE WAN MKT, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-00903,"HONG KONG CHIROPRACTIC ACUPUNCTURE & TUI-NA ASSOCIATION, ACCOMPANYING WITH TRADITIONAL MEDICINE CLINIC",No,S2,"FLAT/RM 60, 01/F, RICHLAND GARDEN, 138 WU CHUI ROAD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00905,CHEONG TAI MEDICINE CO.,Yes,S2,"SHOP 8, G/F, KAI HEI LAND BLDG, 385 CASTLE PEAK ROAD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00906,WING LUEN MARINE PRODUCTS COMPANY LIMITED,No,S2,"G/F, 102 DES VOEUX RD W, HONG KONG",No,2017-10-06
CR-2003-00908,KA FUNG GINSENG HONG,No,S2,"BLK B, 3/F, 23-25 BONHAM STRAND WEST, HONG KONG",No,2017-10-06
CR-2003-00909,LUNG SANG FAT HERBS,Yes,S1 & S2,"G/F, NO.95 TIN SAM VILLAGE, SHA TIN, N.T.",No,2017-10-06
CR-2003-00920,HIP HING (NAM TAI) MEDICINE CO.,No,S2,"FLAT/RM A & C, 1/F, LOP PO BUILDING, 42-44 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00923,TAK ON TONG MEDICINE CO.,No,S2,"SHOP 21, 1/F, GOLDMINE SHOPPING CTR, 345 CHAI WAN RD, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-00930,WO CHUN YUEN CO.,Yes,S1 & S2,"G/F, KWONG FAT BUILDING, 2B FONG WAH LANE, YUK WAH CRESCENT, TSZ WAN SHAN, KOWLOON",No,2017-10-06
CR-2003-00931,KIN SHING MEDICINE LIMITED,Yes,S2,"G/F, SHOP K, TUEN MUN GARDEN, 6 TSING HOI CIRCUIT, TUEN MUN, N.T.",No,2017-10-06
CR-2003-00933,YICK KIN CHINESE MEDICINES,Yes,S2,"NO. 83, 91, 1/F, UC COMPLEX, 123A FA YUEN ST, MONG KOK, KOWLOON",No,2017-10-06
CR-2003-00936,"FOOK YUEN HING GINSENG CO., LIMITED",No,S2,"FLAT/RM 705, WESTERN CENTRE, 40-50 DES VOEUX RD W, HONG KONG",No,2017-10-06
CR-2003-00937,WONG CHAK KEE LIMITED,No,S2,"SHOP 10, G/F, KAM YU MANSION, NO.8 KOM U STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00938,YUEN TUNG GINSENG CO.,Yes,S1 & S2,"G/F, 68 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-00940,AMERICAN GINSENG COMPANY,Yes,S1 & S2,"G/F, 82 LOK SHAN ROAD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-00942,UNITED MEDICINE CO.,Yes,S1 & S2,"G/F, 12 CONCORD SQUARE, SAN TSUEN ST, TSUEN WAN, N.T.",No,2017-10-06
CR-2003-00943,WING ON TONG MEDICINE CO.,Yes,S1 & S2,"G/F, 41 TAI SUN ST, CHEUNG CHAU, HONG KONG",No,2017-10-06
CR-2003-00951,WING TAK CHINESE MEDICINE COMPANY,Yes,S2,"G/F, SHOP 17, PHASE 2, HING FOOK BUILDING, 8 MAN HOP PATH, YUEN LONG, N.T.",No,2017-10-06
CR-2003-00960,TUNG SHING MEDICINE CO.,Yes,S2,"FLAT/RM 1, G/F, CHOI YUET HSE, CHOI HA EST, NGAU TAU KOK, KOWLOON",No,2017-10-06
CR-2003-00961,WING SEE (YU SANG) MEDICINE CO.,Yes,S1 & S2,"G/F, 1004 CANTON RD, KOWLOON",No,2017-10-06
CR-2003-00962,MAN KEI GROCERY STORE,No,S2,"G/F, 359 KI LUNG STREET, SHAM SHUI PO, KOWLOON",No,2017-10-06
CR-2003-00963,ROY ON MEDICINE CO.,Yes,S1 & S2,"NO 112, G/F, KAM SHEK HSE, PING SHEK EST, KOWLOON",No,2017-10-06
CR-2003-00965,TAI FAT GROUP GINSENG & SEA PRODUCTS CO.,No,S2,"G/F, 37B SAN HONG ST, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-00977,TAK ON MEDICINE CO.,Yes,S2,"FLAT/RM E3, LEE YAT HOUSE SHOPPING ARCADE, SHUN LEE ESTATE, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-00979,SHUN TAI GINSENG HONG,No,S2,"FLAT/RM B, 5/F, SING KUI COMMERCIAL BUILDING, 27 DES VOEUX ROAD WEST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00981,CANZBO ENTERPRISE COMPANY,Yes,S2,"FLAT/RM 506-8, 5/F, WING TUCK COMM CTR, 177-183 WING LOK ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-00983,WAI HING MEDICINE COMPANY,Yes,S1 & S2,"G/F, 254-256A YU CHAU ST, SHAM SHUI PO, KLN",No,2017-10-06
CR-2003-00986,WAH FU MEDICINE COMPANY,Yes,S2,"FLAT/RM 703-4, WAH KWONG HSE, WAH FU EST, HONG KONG",No,2017-10-06
CR-2003-00988,DOSAGE COMPANY,Yes,S1 & S2,"NO 113, ON YAM SHOPPING CTR, ON YAM EST, KWAI CHUNG, N.T.",No,2017-10-06
CR-2003-00992,LI KWAN MEDICINE CO.,Yes,S1 & S2,"SHOP 80, 1/F, FU FAI GDN ARCADE, MA ON SHAN, N.T.",No,2017-10-06
CR-2003-01000,LUEN FUNG GROUP GINSENG CO.,Yes,S1 & S2,"G/F, 43 SAN HONG ST, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-01002,CHING KEE,No,S2,"RM A327, G/F, URBAN MARKET, 183 NGAU TAU KOK ROAD, NGAU TAU KOK, KOWLOON",No,2017-10-06
CR-2003-01003,KA FU DRIED SEAFOOD GROCERY,No,S2,"FLAT/RM 12, 2/F, FU YU HSE, LEK YUEN EST, SHA TIN, N.T.",No,2017-10-06
CR-2003-01004,KAN TAK,No,S2,"FLAT/RM 1302, 13/F, EVERPROFIT COMMERCIAL BLDG, 34-36 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01005,HONG KONG BAPTIST UNIVERSITY TSIMSHATSUI CHINESE MEDICINE CLINIC,Yes,S1 & S2,"11/F, MASS RESOURCES DEVELOPMENT BUILDING, 12 HUMPHREYS AVENUE, TSIM SHA TSUI, KOWLOON",No,2017-10-06
CR-2003-01006,YUE FUNG GINSENG ENTERPRISES LIMITED,No,S2,"G/F & COCKLOFT, 135 WING LOK STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01008,HONG KONG BAPTIST UNIVERSITY MR. & MRS. CHAN HON YIN CHINESE MEDICINE SPECIALTY CLINIC & GOOD CLINICAL PRACTICE CENTRE,Yes,S1 & S2,"1/F, JOCKEY CLUB SCHOOL OF CHINESE MEDICINE BUILDING, 7 BAPTIST UNIVERSITY ROAD, KOWLOON TONG, KOWLOON",No,2017-10-06
CR-2003-01009,MAK CHI KWAN ACUPUNCTURE CHINESE MEDICAL CLINIC,Yes,S2,"UNIT NO.01, 10TH FLOOR, MILLENNIUM TRADE CENTRE, NO.52-56 KWAI CHEONG ROAD, KWAI HING, N.T.",No,2017-10-06
CR-2003-01014,CHUNG KWOK MEDICAL SHOP,Yes,S2,"FLAT/RM 230, 3/F, SHUI WO STREET MUNICIPAL SERVICES BUILDING, SHUI WO ST, KWUN TONG, KOWLOON",No,2017-10-06
CR-2003-01016,TAK CHEONG MEDICINE COMPANY,Yes,S1 & S2,"SHOP 78, LEVEL 2, TSEUNG KWAN O PLAZA, 1 TONG TAK ST, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-01018,TAK CHEONG COMPANY,No,S2,"SHOP NO. 4, G/F, KAM YU MANSION, 8 KOM U STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01025,HANG FUNG GINSENG & DRIED SEA FOOD (O/B MAX DRAGON COMPANY LIMITED),Yes,S1 & S2,"G/F, 34 LUEN SHING STREET, LUEN WO HUI, FANLING, N.T.",No,2017-10-06
CR-2003-01030,WAH CHOW HERBS MANUFACTURING LIMITED,No,S2,"G/F, NO 53B LUEN ON STREET, FANLING, N.T.",No,2017-10-06
CR-2003-01035,CHEUNG SHING MEDICINE CO.,Yes,S1 & S2,"SHOP NO 4, COMM CTR SHAN KING EST, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01037,LEE FUNG SWALLOWS' NEST SINSENG SEA PRODUCTS CHINESE,Yes,S1 & S2,"G/F, 187A MA TAU WAI RD, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-01038,MAN CHEONG MEDICINE COMPANY,Yes,S1 & S2,"SHOP 31-B, G/F, KINDERGARTEN COMM BLOCK, ON NING GARDEN, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-01041,PO KWONG MEDICINE HONG,Yes,S1 & S2,"P516B PLATFORM, KIN ON MANSION, TAIKOO SHING, HONG KONG",No,2017-10-06
CR-2003-01043,PO ON TONG CHINESE MEDICINE & HEALTHY CLINIC,Yes,S2,"G/F, CHUNG KAY BLDG, NO 515 SHANGHAI ST, KOWLOON",No,2017-10-06
CR-2003-01046,TAI LEE HONG (GROUP) MEDICINE CO.,Yes,S1 & S2,"SHOP K, G/F, HOLLY BLDG, SAU FU ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01049,SUN SHING MEDICINE CO.,Yes,S1 & S2,"FLAT/RM 28, G/F, ROYAL JUBILEE (JUBILEE PLAZA), 88 SAN SHING AVE, SHEUNG SHUI, N.T.",No,2017-10-06
CR-2003-01050,GLORIOUS HERBALIST & MEDICINE CO.,Yes,S1 & S2,"SHOP NO 64, GLORIOUS GDN, LUNG MUN ROAD, TUEN MUN, N.T.",No,2017-10-06
CR-2003-01051,MAN CHUN TONG MEDICINE CO.,Yes,S2,"SHOP 16B, 1/F, TSING YI GARDEN, 7-19 TSING LUK STREET, TSING YI, N.T.",No,2017-10-06
CR-2003-01052,KWAN CHEONG MEDISTORE CO.,Yes,S1 & S2,"FLAT 9, G/F, JING YING MANSION, 56 FOOK TAK ST, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01053,ON WO TONG CHINESE MEDICAL CENTRE (O/B CORWIN LIMITED),Yes,S2,"SHOP 4A 8-14, 23-25 & 29, LEVEL 3, SCENEWAY PLAZA, LAM TIN, KOWLOON",No,2017-10-06
CR-2003-01054,YUE HING CHEUNG,Yes,S1 & S2,"SHOP B, G/F, WO FU BUILDING, 159-161 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01055,WING LEE,No,S2,"G/F, 96 DES VOEUX ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01058,HANG ON CHINESE MEDICINE CO.,No,S2,"BLK A, 9/F, 42-44 KO SHING ST, HONG KONG",No,2017-10-06
CR-2003-01061,LUEN HING HO,No,S2,"G/F, 41 KO SHING STREET, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01065,TAI PING MEDICINE CO.,Yes,S1 & S2,"G/F, 28 TAI TONG RD, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01067,ON SANG MEDICINE & PRESERVED SEA FOOD,Yes,S2,"G/F, 75 WAN CHAI RD, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-01078,KWONG CHEONG TRADING CO.,No,S2,"FLAT/RM G, G/F, 48-66 KO SHING ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01080,MING FAI CINNAMON AND SEA FOOD,No,S2,"REAR PORTION, G/F, 81 KWONG FUK RD, TAI PO, N.T.",No,2017-10-06
CR-2003-01084,"FOOK HING MEDICINE (HK) CO., LIMITED",Yes,S1 & S2,"SHOP 81, G/F, HOLLYWOOD CENTRE, 77-91 QUEEN'S ROAD WEST, HONG KONG",No,2017-10-06
CR-2003-01085,TAK HING LUNG MEDICINE COMPANY,Yes,S2,"SHOP 4, G/F, NO. 18 CROSS STREET, WAN CHAI, HONG KONG",No,2017-10-06
CR-2003-01090,SZE CHUN (YUE KEE) MEDICINE COMPANY,No,S2,"FLAT/RM 5, G/F, HIU FUNG HOUSE, FUNG WAH ESTATE, CHAI WAN, HONG KONG",No,2017-10-06
CR-2003-01091,NG CHAN CHEONG HERBALIST TIT-DA ACUPUNCTURIST,Yes,S1 & S2,"SHOP 6, G/F, LAI BO GARDEN, 38 CHEUNG WAH ST, CHEUNG SHA WAN, KOWLOON",No,2017-10-06
CR-2003-01093,TUNG PO GINSENG MEDICINE SHOP,No,S2,"NO. 34, HEUNG CHE STREET MARKET, 8 TSO KUNG STREET, TSUEN WAN, NT",No,2017-10-06
CR-2003-01094,WONG CHAK KEE,No,S2,"G/F, 42B KO SHING STREET, WESTERN DISTRICT, HONG KONG",No,2017-10-06
CR-2003-01108,LUNG SHING GINSENG MEDICINE CO.,Yes,S1 & S2,"G/F, KAI WAN BLDG, 11 ARGYLE ST, KOWLOON",No,2017-10-06
CR-2003-01109,HANG CHEONG LOONG,Yes,S2,"G/F, 62 WING LOK ST, SHEUNG WAN, HONG KONG",No,2017-10-06
CR-2003-01110,LAU SUET CHING HERBALIST,Yes,S2,"FLAT/RM A, 1/F, 50 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",No,2017-10-06
CR-2003-01114,"NAM PEI HONG SUM YUNG DRUGS CO., LIMITED",No,S2,"FLAT/RM 1076-77, 1/F, METRO CITY PHASE II, 8 YAN KING ROAD, TSEUNG KWAN O, N.T.",No,2017-10-06
CR-2003-01115,WAH KIU (TONG KEE) MEDICINE CO.,Yes,S2,"G/F, 1A CHUN FAT ST, KOWLOON",No,2017-10-06
CR-2003-01121,MAN CHEONG MEDICINE COMPANY,Yes,S1 & S2,"G/F, NO. 104 MEI KING ST, TO KWA WAN, KOWLOON",No,2017-10-06
CR-2003-01128,HANG FUNG CHINESE MEDICINE CO.,Yes,S1 & S2,"G/F, 425U QUEEN'S RD W, HONG KONG",No,2017-10-06
CR-2003-01130,WING WAH DISPENSARY (O/B WING WAH GROUP DISPENSARY LIMITED),Yes,S2,"G/F, 21 CLEAR WATER BAY ROAD, NGAU CHI WAN, KOWLOON",No,2017-10-06
CR-2003-01131,WAH CHEONG MEDICINE,No,S2,"G/F, 10 EASTERN STREET, SAI YING PUN, HONG KONG",No,2017-10-06
CR-2003-01136,TIN TSI CHINESE MEDICINE & SEA FOOD CO.,Yes,S2,"G/F, 3-5 FU SIN ST, TAI PO, N.T.",No,2017-10-06
CR-2003-01137,DO ON (F W) DISPENSARY (O/B DO ON (F W) DISPENSARY LIMITED),Yes,S1 & S2,"SHOP 223-224, 2/F, TIN CHAK SHOPPING CENTRE, TIN CHAK EST, TIN SHUI WAI, YUEN LONG, N.T.",No,2017-10-06
CR-2003-01141,SUN LOONG COMPANY,No,S2,"G/F, 98 DES VOEUX ROAD WEST, SHEUNG WAN, HK",No,2017-10-06
CR-2003-01142,SHUN FUNG TRADING CO.,No,S2,"G/F, SI TOI COMMERCIAL BUILDING, 62 CONNAUGHT ROAD WEST, HONG KONG",No,2017-10-06
